Fold,Accuracy
1,0.5208333333333334
2,0.6382978723404256
3,0.6170212765957447
4,0.6595744680851063
5,0.5531914893617021
6,0.5531914893617021
7,0.574468085106383
8,0.574468085106383
9,0.48936170212765956
10,0.5531914893617021
